app,appLabel
http://www.wikidata.org/entity/Q7178768,Petri Net Markup Language
http://www.wikidata.org/entity/Q7231341,Portable Database Image
http://www.wikidata.org/entity/Q4545483,X File Format
http://www.wikidata.org/entity/Q4786175,ArchiCAD library part
http://www.wikidata.org/entity/Q5204413,Database-Packed File
http://www.wikidata.org/entity/Q5421818,Extended Log Format
http://www.wikidata.org/entity/Q5519821,Game Boy Sound
http://www.wikidata.org/entity/Q5532331,General content descriptor
http://www.wikidata.org/entity/Q5533911,GeoPDF
http://www.wikidata.org/entity/Q7239840,Preferred Executable Format
http://www.wikidata.org/entity/Q4836515,BSAVE
http://www.wikidata.org/entity/Q5010021,CDX Format
http://www.wikidata.org/entity/Q5227180,Data Interchange Format
http://www.wikidata.org/entity/Q5243773,DcVD
http://www.wikidata.org/entity/Q5419767,Execute Direct Access Program
http://www.wikidata.org/entity/Q5447148,fielded text
http://www.wikidata.org/entity/Q5448342,File change log
http://www.wikidata.org/entity/Q6059108,Intuit Interchange Format
http://www.wikidata.org/entity/Q5156830,Compound File Binary File Format
http://www.wikidata.org/entity/Q7095768,OpenDRIVE
http://www.wikidata.org/entity/Q7096031,Open Financial Connectivity
http://www.wikidata.org/entity/Q4652973,ANIM
http://www.wikidata.org/entity/Q4677626,Activity Streams
http://www.wikidata.org/entity/Q5134985,CloneCD Control File
http://www.wikidata.org/entity/Q5204969,DGML
http://www.wikidata.org/entity/Q5511119,Fuzzy markup language
http://www.wikidata.org/entity/Q5532344,General feature format
http://www.wikidata.org/entity/Q5921560,Synthetic music mobile application format
http://www.wikidata.org/entity/Q6505523,Layered Image File Format
http://www.wikidata.org/entity/Q6717333,Mathematical Programming System
http://www.wikidata.org/entity/Q6717353,MPX Microsoft Project Exchange File Format
http://www.wikidata.org/entity/Q6717908,MSSTYLES
http://www.wikidata.org/entity/Q6746668,Management Information Format
http://www.wikidata.org/entity/Q6934775,Multimedia Container Format
http://www.wikidata.org/entity/Q7072922,Olympus Raw Format
http://www.wikidata.org/entity/Q7095914,OpenXDF
http://www.wikidata.org/entity/Q4812839,Atari SAP music format
http://www.wikidata.org/entity/Q4992580,Kindle Format 8
http://www.wikidata.org/entity/Q5287627,Document Definition Markup Language
http://www.wikidata.org/entity/Q5322705,Extended Common Object File Format
http://www.wikidata.org/entity/Q5379518,Enriched text
http://www.wikidata.org/entity/Q5421923,Extensible MPEG-4 Textual Format
http://www.wikidata.org/entity/Q5531566,Gene transfer format
http://www.wikidata.org/entity/Q5531898,General Exchange Format
http://www.wikidata.org/entity/Q5299371,dotXSI
http://www.wikidata.org/entity/Q5324731,eXtended Triton Format
http://www.wikidata.org/entity/Q6391653,mcrypt
http://www.wikidata.org/entity/Q7268194,Qtch
http://www.wikidata.org/entity/Q7271522,Question Object File Format
http://www.wikidata.org/entity/Q7391833,SND
http://www.wikidata.org/entity/Q8229684,Elf
http://www.wikidata.org/entity/Q7487043,SIFF
http://www.wikidata.org/entity/Q7389166,SCKL
